Date,Value2
2010/01,8411.2
2010/02,8508.5
2010/03,8557.8
2010/04,8526.0
2010/05,8589.7
2010/06,8556.2
2010/07,8534.4
2010/08,8586.0
2010/09,8603.5
2010/10,8667.9
2010/11,8785.2
2010/12,8874.8
2011/01,8789.4
2011/02,8908.2
2011/03,8984.6
2011/04,9016.5
2011/05,9017.1
2011/06,9117.1
2011/07,9211.2
2011/08,9437.3
2011/09,9448.5
2011/10,9528.6
2011/11,9616.6
2011/12,9714.2
2012/01,9677.5
2012/02,9777.0
2012/03,9866.8
2012/04,9837.0
2012/05,9845.2
2012/06,9890.0
2012/07,9973.9
2012/08,10033.3
2012/09,10095.5
2012/10,10220.2
2012/11,10311.4
2012/12,10615.7
2013/01,10398.2
2013/02,10448.6
2013/03,10581.9
2013/04,10531.7
2013/05,10539.1
2013/06,10560.2
2013/07,10647.7
2013/08,10697.4
2013/09,10827.1
2013/10,10896.8
2013/11,10941.3
2013/12,11128.3
2014/01,11033.2
2014/02,11135.6
2014/03,11304.2
2014/04,11220.6
2014/05,11240.7
2014/06,11332.9
2014/07,11353.4
2014/08,11373.5
2014/09,11441.2
2014/10,11516.3
2014/11,11571.1
2014/12,11789.7
2015/01,11677.4
2015/02,11840.5
2015/03,11960.9
2015/04,11852.8
2015/05,11873.4
2015/06,11947.4
2015/07,11949.6
2015/08,12076.4
2015/09,12074.0
2015/10,12132.9
2015/11,12304.6
2015/12,12453.0
2016/01,12412.0
2016/02,12549.1
2016/03,12723.6
2016/04,12683.1
2016/05,12676.4
2016/06,12727.5
2016/07,12793.1
2016/08,12916.5
2016/09,12932.8
2016/10,13076.0
2016/11,13184.9
2016/12,13296.0
2017/01,13180.5
2017/02,13322.6
2017/03,13470.1
2017/04,13468.6
2017/05,13453.2
2017/06,13449.4
2017/07,13580.1
2017/08,13625.6
2017/09,13613.7
2017/10,13711.2
2017/11,13803.6
2017/12,13934.4
2018/01,13745.1
2018/02,13841.0
2018/03,13994.3
2018/04,13915.7
2018/05,13958.9
2018/06,13987.3
2018/07,14069.7
2018/08,14130.4
2018/09,14113.1
2018/10,14152.2
2018/11,14221.3
2018/12,14529.5
2019/01,14324.5
2019/02,14373.7
2019/03,14532.7
2019/04,14475.5
2019/05,14565.3
2019/06,14659.0
2019/07,14789.1
2019/08,14831.4
2019/09,15012.9
2019/10,15077.4
2019/11,15231.3
2019/12,15452.4
2020/01,15294.0
2020/02,15328.1
2020/03,16619.0
2020/04,17323.3
2020/05,17784.7
2020/06,18160.5
2020/07,18112.2
2020/08,18380.8
2020/09,18493.8
2020/10,18645.3
2020/11,19055.3
2020/12,19297.4
2021/01,19284.2
2021/02,19544.9
2021/03,20115.6
2021/04,20150.8
2021/05,20284.6
2021/06,20370.1
2021/07,20535.7
2021/08,20812.3
2021/09,20872.7
2021/10,21036.6
2021/11,21384.4
2021/12,21754.9
2022/01,21518.9
2022/02,21659.4
2022/03,21846.4
2022/04,21620.5
2022/05,21569.6
