Date,Close,Open,High,Low,Volume,Change
2016-01-04,4903.09,4897.65,4903.09,4846.98,569790000.0,-0.0208
2016-01-05,4891.43,4917.84,4926.73,4872.74,428070000.0,-0.0024
2016-01-06,4835.77,4813.76,4866.04,4804.69,501750000.0,-0.011399999999999999
2016-01-07,4689.43,4736.4,4788.02,4688.17,590070000.0,-0.030299999999999997
2016-01-08,4643.63,4722.02,4742.57,4637.85,540570000.0,-0.0098
2016-01-11,4637.99,4673.44,4683.02,4573.77,528169999.99999994,-0.0012
2016-01-12,4685.92,4681.54,4714.8,4618.03,498550000.0,0.0103
2016-01-13,4526.06,4706.02,4713.98,4517.56,570190000.0,-0.0341
2016-01-14,4615.0,4545.37,4650.55,4470.59,593870000.0,0.0197
2016-01-15,4488.42,4464.37,4520.45,4419.41,739410000.0,-0.0274
2016-01-19,4476.95,4548.05,4550.57,4430.77,572070000.0,-0.0026
2016-01-20,4471.69,4405.22,4514.92,4313.39,716730000.0,-0.0012
2016-01-21,4472.06,4480.7,4537.15,4432.02,567900000.0,0.0001
2016-01-22,4591.18,4557.39,4591.18,4540.27,523809999.99999994,0.026600000000000002
2016-01-25,4518.49,4574.6,4590.44,4514.78,483490000.0,-0.0158
2016-01-26,4567.67,4537.04,4583.21,4503.52,461530000.0,0.0109
2016-01-27,4468.17,4548.87,4568.85,4450.83,513419999.99999994,-0.0218
2016-01-28,4506.68,4533.81,4533.81,4447.5,545170000.0,0.0086
2016-01-29,4613.95,4512.09,4613.95,4511.3,754580000.0,0.023799999999999998
2016-02-01,4620.37,4587.59,4636.93,4565.38,480040000.0,0.0014000000000000002
2016-02-02,4516.95,4588.69,4589.9,4503.12,511640000.0,-0.022400000000000003
2016-02-03,4504.24,4543.82,4547.32,4424.47,577230000.0,-0.0028000000000000004
2016-02-04,4509.56,4492.48,4545.52,4463.99,543900000.0,0.0012
2016-02-05,4363.14,4491.48,4493.19,4350.38,636440000.0,-0.0325
2016-02-08,4283.75,4288.02,4301.53,4212.81,673870000.0,-0.0182
2016-02-09,4268.76,4224.87,4329.61,4222.48,579160000.0,-0.0034999999999999996
2016-02-10,4283.59,4318.28,4369.62,4280.73,561080000.0,0.0034999999999999996
2016-02-11,4266.84,4218.81,4293.22,4209.76,688730000.0,-0.0039000000000000003
2016-02-12,4337.51,4307.29,4340.13,4274.15,506310000.0,0.0166
2016-02-16,4435.95,4397.95,4435.95,4376.52,553800000.0,0.0227
2016-02-17,4534.06,4471.66,4540.78,4463.51,576510000.0,0.022099999999999998
2016-02-18,4487.54,4548.1,4548.47,4482.77,472550000.0,-0.0103
2016-02-19,4504.43,4464.67,4513.15,4455.1,488380000.0,0.0038
2016-02-22,4570.61,4548.31,4576.47,4546.55,427620000.0,0.0147
2016-02-23,4503.58,4550.05,4558.06,4500.94,388340000.0,-0.0147
2016-02-24,4542.61,4453.93,4547.64,4425.72,452410000.0,0.0087
2016-02-25,4582.2,4554.73,4582.2,4516.89,392230000.0,0.0087
2016-02-26,4590.47,4615.14,4618.85,4580.78,438380000.0,0.0018
2016-02-29,4557.95,4585.3,4619.9,4557.46,565970000.0,-0.0070999999999999995
2016-03-01,4689.6,4596.01,4689.6,4581.75,507410000.0,0.028900000000000002
2016-03-02,4703.42,4683.8,4703.57,4665.93,452450000.0,0.0029
2016-03-03,4707.42,4698.38,4707.72,4674.46,444920000.0,0.0009
2016-03-04,4717.02,4715.77,4746.65,4687.94,510770000.0,0.002
2016-03-07,4708.25,4690.88,4731.19,4674.82,486230000.0,-0.0019
2016-03-08,4648.82,4676.22,4695.03,4642.86,467110000.0,-0.0126
2016-03-09,4674.38,4666.42,4676.47,4642.42,410130000.0,0.0055000000000000005
2016-03-10,4662.16,4691.2,4716.14,4607.99,439520000.0,-0.0026
2016-03-11,4748.47,4712.38,4748.79,4700.91,416030000.0,0.018500000000000003
2016-03-14,4750.28,4733.39,4762.27,4731.51,379760000.0,0.0004
2016-03-15,4728.67,4731.14,4735.27,4712.07,397350000.0,-0.0045000000000000005
2016-03-16,4763.97,4717.88,4774.78,4716.45,402690000.0,0.0075
2016-03-17,4774.98,4752.62,4788.09,4737.97,435040000.0,0.0023
